36, aminakoyim: kcrebell, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
37, Photograph: ed Sheeran, Wrecking Ball: Miley Cyrus, Happier: marshmallow, K: cigarette after sex, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
38, Perfect: Ed Sheeran, Wake me up: Avicii, Treat you better: Shawn Mendes, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
39, The Nights: Avicii, Photograph: Ed Sheeran, Girls Like You: Maroon5, Memories: Maroon5, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA, NA: NA
40, Rap Devil: Machine Gun Kelly, Rap God: Eminem, KillShot: Eminem, Spacebound: Eminem, Beautiful: Eminem, Love the way you lie: Eminem, Starboy: The Weeknd, FeFe: tekashi69, 24K Magic: Bruno Mars, Animals: Maroon5
41, Stacy: Quin XCII, I like me better: Lauv, Good things fall apart: Illenium, All time low: jon bellion, Don't you worry child: Swedish House mafia, Sometimes: kodaline, Apocalypse: cigarettes after sex, Paradise: coldplay, Sleep on the floor: the Lumineers, Spirits: the strumbellas
42, without_me:Halsey, fix_you:coldplay, fireflies:owl_city, love_the_way_you_lie:eminem, memories:maroon_5, just_give_me_a_reason:p!nk, i_hate_you_i_love_you:gnash, yellow:coldplay, senorita:camila_cabello, don't_let_me_down:chainsmokers
43, Hall of Fame: The Script, Mockingbird: Eminem, Iron: Woodkid, Piano Man: Billy Joel, The Spectre: Alan Walker, King: Lauren Aquilina, Not Afraid: Eminem, Land of All: Woodkid, Royal: Lorde, Centuries: Fall Out Boy
44, Cold: Maroon5, Blinding lights: The Weeknd, Old town road: Lil Nas X, Roxanne: Arizona Zervas, It's all on you: Illenium, Yummy: Justin Bieber, Whatever it takes: Imagine Dragons, Hymn for the weekend:  Cold Play, Lily: Alan Walker, Happier: Marshmellow
45, Ms.California:Beach Bunny,  Dirty Little Secret : The All-American Rejects,Happy: Mitski,  My Boyfriend's Back: The Raveonettes, AMERIKA: Rammstein, Someone Tell The Boys: Samia, Supermassive Black Hole: Muse, Gold On the Ceiling: The Black Keys, Heart-shaped box: Nirvana, NA: NA
46, Come Back For You: Elephante, The Box: Roddy Ricch, Navajo: masego, Sunflower Seeds: Bryce Vine, Floating: Alina Baraz feat. Khalid, Painting Greys: Emmit Fenn, Feelings: Lauv, SICK OF IT ALL: blackbear, Pretty Little Fears: 6LACKft J.Cole, happysad: GOLDN 
47, Senorita: Shawn Mendes, Treat you better: Shawn Mendes, There's nothing holding me back: Shawn Mendes, We don't talk any more: Charlie Puth, Baby: Justin Bieber, Shape of you: ED Sheeran, Waka Waka: Shakira, Love me like you do: Ellie Goulding, Let me love you: Justin Bieber, Faded: Alan Walker
48, Good Things Fall Apart : ILLENIUM, Angela : The Lumineers, Airplanes : Hayley Williams, Just the way you are : Bruno Mars, Candy Pain : Post Malone, All of Me : John Legend, Old Town Road : Lil Nas X, Whatever It Takes : Imagine Dragons, Blinding Lights : The Weeknd, Memories : Maroon 5
49, Numb: Linkin Park, In the end: Linkin Park, The dragonborn comes: Skyrim, The house of the rising sun: The animals,  Do I wanna know?: Arctic Monkeys, I Hate everything about you: Three Days Grace, Rolling in the deep: Adele, Believer: Imagine Dragons, Radioactive: Imagine Dragons, Nirvana: Smells like team spirits
50, We Are Young: Fun, All About That Bass: Meghan Trainor, Genius: LSD, Stereo Hearts: Gym Class Heroes, Bad Romance: Lady Gaga, Believer: Imagine Dragons, All Of Me: John Legend, Let Her Go: Passenger, Space Bound: Eminem, Comfortably Numb: Pink Floyd
51, Death bed: Powfu, Words: Gregory Alan Isakov, In your eyes: The Weeknd, Feel Good Inc: Gorillaz, Yeah Right: Joji, Faith: The Weeknd, Hardest to love: The Weeknd, Wish you were sober: Conan Gray, Hurt: Johny Cash, Highway to hell: AC DC
52, Lovers on the sun: David Guetta, Starving: Zedd, Blow your mind: Dua Lipa, One kiss: Dua lipa, without me: Halsey, Right now: Nick Jonas, Ignite: Alan walker, On my way: Alan walker, Dynamite: taio cruz, Lush life: Zarra Larson
58, let her go: the passengers, Ricky: Denzel Curry, sad: XXXTentacion, Clout Cobain: Denzel Curry, Wonderwall: Oasis, It's Time: Imagine Dragons, NA: NA, NA: NA, NA: NA, NA: NA
60, Believer: Imagine Dragons, The Nights: Avicii, Here comes the sun: Beatles, Astronaut: Julian Emery, Feel Good: Daya, Hymes of weekend: Coldplay, Demons: Imagine Dragons, Stand by me: Alex D'Rosso, This Feeling: The Chainsmokers, Youngblood: 5 SoS
62, Fallin: Alicia keys, Hey ya: Outcast, Lose yourself: Eminem, In da club: 50 cent, Poker face: lady gaga, Beautiful day: U2, Yellow: Coldplay, Hot in herre: nelly, Paper planes: M.I.A, Let me love you: Mario
