2,3,3,5,4,5,3,3,4,4,5,3,2,4,2,5,3,5,5,5,5,4,3,4,2,4,2,3,3,3,5,4,5,4,4,2,3,2,3,4,5,2,4,4,5
3,3,3,5,2,5,5,5,1,3,5,4,1,5,4,5,5,5,4,4,5,5,5,5,4,5,4,2,4,3,5,3,4,5,4,2,3,1,4,3,4,3,5,2,2
4,4,3,3,3,3,3,4,4,4,4,4,1,4,4,4,4,3,4,4,4,3,4,4,3,2,3,2,4,4,4,4,4,3,2,2,4,3,2,4,3,5,4,4,4
6,4,1,4,1,4,2,5,1,4,5,4,1,5,4,3,4,5,1,2,4,2,4,1,3,1,2,2,4,2,5,2,5,3,3,2,4,2,5,1,4,4,4,4,4
7,4,3,5,1,4,3,4,4,3,5,4,2,5,2,4,4,4,2,2,5,4,4,3,4,5,5,3,4,2,5,5,4,4,3,1,4,3,4,1,4,5,4,4,4
10,2,2,5,3,4,5,4,3,3,4,3,2,5,3,5,4,5,3,5,5,5,5,3,2,5,4,4,4,4,5,5,4,4,3,1,2,3,4,3,5,4,5,2,5
12,4,4,3,4,4,1,5,1,2,4,3,1,4,4,3,4,5,1,1,4,3,5,2,3,3,4,3,4,3,5,4,5,4,2,5,5,3,4,4,3,4,5,3,4
14,1,3,5,2,5,5,5,1,4,5,4,2,5,4,4,3,4,1,4,4,3,4,2,4,4,4,1,5,2,3,5,5,4,4,4,4,1,4,3,4,4,5,4,1
15,4,2,4,2,5,2,5,3,3,5,5,1,5,3,4,5,5,3,3,5,2,5,4,3,5,4,1,5,3,5,3,5,5,4,3,3,3,5,3,5,4,5,3,3
17,2,1,1,3,4,2,5,5,2,5,5,1,5,4,5,3,5,4,5,5,5,5,5,2,4,2,1,5,5,5,5,5,4,1,5,5,1,5,1,4,5,5,4,2
19,2,2,4,1,5,4,4,4,4,5,3,1,4,2,5,5,4,5,1,5,5,2,4,5,5,5,5,4,2,5,4,3,4,5,2,1,4,3,2,5,5,5,3,4
20,5,3,4,2,3,3,5,4,1,3,3,2,5,4,4,4,5,3,5,3,2,4,3,3,3,3,2,3,4,3,3,4,4,2,3,4,3,3,4,3,4,4,4,3
21,3,2,3,2,5,3,5,4,3,5,5,1,4,3,4,5,5,4,3,5,3,3,2,4,4,3,2,4,2,5,4,5,2,3,1,4,2,2,4,5,1,5,5,4
22,3,1,3,1,5,2,1,3,3,4,4,1,1,1,4,4,3,2,3,3,3,4,4,3,4,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,4,3,3
23,3,2,4,1,4,4,4,3,3,4,3,1,4,4,4,4,4,2,1,4,4,5,4,4,4,2,2,4,3,4,4,5,4,2,2,4,2,1,3,4,4,5,3,4
25,4,2,4,2,5,1,4,3,3,4,5,2,5,2,5,5,4,3,3,5,2,4,3,4,4,4,2,5,3,5,2,5,3,3,2,4,2,3,2,5,5,4,3,5
26,3,2,4,2,5,4,4,3,3,5,4,1,4,3,5,5,4,3,2,4,3,3,4,4,4,4,3,3,3,5,3,4,3,5,2,4,2,3,3,5,3,3,2,5
27,2,2,3,1,3,4,4,3,4,4,3,1,4,3,4,4,5,3,2,5,5,5,4,5,4,4,1,3,1,5,5,5,4,4,2,2,1,3,2,3,2,4,4,3
30,3,5,5,5,3,5,1,5,2,5,3,4,5,3,2,3,5,1,4,5,5,5,5,3,2,3,5,5,2,5,5,4,3,4,4,3,5,5,4,5,5,5,5,5
31,3,2,3,2,3,4,4,5,3,5,4,2,4,2,4,4,4,5,4,4,3,4,5,4,4,4,3,5,4,5,1,5,3,3,1,3,4,3,3,4,3,4,4,3
33,4,3,4,2,4,3,3,3,4,4,3,2,4,2,4,4,4,3,2,4,4,4,2,4,4,4,3,4,4,4,2,3,4,4,3,4,2,4,3,4,3,4,2,2
34,1,2,5,3,3,5,4,2,2,4,2,1,5,4,3,3,3,1,4,4,5,2,2,2,4,3,2,5,5,5,5,4,4,3,2,1,2,4,4,4,2,4,4,4
35,5,2,3,1,5,1,5,5,3,5,4,1,5,5,5,3,5,4,5,5,1,5,3,4,5,5,5,3,5,5,4,5,3,3,4,5,4,5,4,5,5,5,4,2
36,2,4,3,4,4,5,3,3,2,3,2,3,3,4,3,2,3,2,5,3,5,5,4,2,2,3,4,3,4,4,4,4,2,2,4,3,4,3,3,3,3,3,5,2
37,2,2,3,1,4,4,4,3,3,4,3,1,4,4,4,4,5,2,4,4,4,4,3,4,4,4,3,4,2,4,3,4,4,4,4,4,2,3,3,4,4,4,4,4
38,4,2,4,1,3,4,4,1,3,4,5,1,4,4,4,3,2,3,4,4,3,3,5,5,2,3,2,4,5,4,4,4,4,3,3,5,2,3,3,4,4,4,3,2
39,2,2,3,3,3,5,4,2,2,2,3,1,4,4,4,3,5,2,5,3,5,5,3,3,3,2,4,4,4,4,4,4,3,3,4,2,2,3,4,4,4,3,2,3
40,3,4,2,1,2,3,5,3,4,3,3,2,2,3,2,2,2,4,2,2,3,3,3,5,2,2,2,3,1,2,3,2,2,2,2,2,3,2,2,2,1,3,4,1
41,2,2,4,1,3,3,4,4,4,4,4,2,4,2,4,4,4,2,2,4,2,4,4,4,4,4,2,3,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4
42,5,5,4,3,3,4,4,3,2,3,2,2,3,4,4,2,2,3,3,4,4,3,5,1,2,5,5,2,5,4,4,2,3,2,2,3,4,2,3,3,3,3,4,4
43,2,1,5,1,4,4,5,2,4,5,5,1,5,2,3,5,5,1,2,4,5,5,2,5,4,5,2,4,4,4,2,4,4,4,4,5,5,5,2,5,4,4,2,4
44,4,3,4,2,3,3,4,3,3,4,4,2,4,3,3,3,5,3,3,3,2,5,3,3,3,3,3,4,3,3,3,4,4,3,3,4,2,4,3,3,4,4,3,3
45,4,2,3,4,4,3,4,4,2,4,4,2,4,4,4,5,5,3,4,5,2,4,4,2,5,4,1,4,4,5,5,5,2,2,4,4,3,5,5,5,2,5,4,4
46,2,4,4,2,3,4,4,1,4,3,3,1,5,1,4,2,4,1,1,5,4,3,4,4,4,3,4,4,2,4,3,4,4,4,4,3,3,4,1,4,3,3,2,3
47,2,2,3,2,4,2,4,5,2,4,4,3,4,4,4,3,5,5,4,3,4,5,4,2,4,2,3,4,5,5,4,4,3,3,5,4,4,2,4,3,4,5,5,3
48,4,2,3,1,4,4,4,5,1,4,3,2,5,3,4,4,5,1,5,4,3,2,4,3,3,3,2,4,4,4,4,5,4,2,4,3,4,1,2,4,3,4,2,2
49,2,4,5,3,4,4,4,4,3,4,3,3,4,4,4,2,3,3,4,4,4,2,4,4,3,3,3,4,4,5,4,4,4,3,3,3,4,3,4,4,5,3,3,4
50,2,2,3,1,3,3,4,3,4,3,4,2,4,3,3,4,4,4,2,4,3,4,4,4,3,3,2,3,2,3,3,4,3,3,3,4,3,3,2,3,2,3,3,4
51,3,2,4,2,4,3,4,3,4,5,4,2,4,3,3,4,3,2,3,4,2,4,3,4,4,3,2,4,2,4,3,4,4,4,3,4,2,3,3,5,5,4,3,3
52,2,2,3,3,3,3,5,2,4,5,2,2,4,3,5,2,4,4,4,4,4,4,5,2,4,4,4,2,4,2,4,5,4,3,4,2,1,1,2,2,2,4,4,2
